Turf Name,Location,Landmark,Price Per Hour,Rating,Number of Reviews,Open Time,Close Time,Available on Weekend,Turf Type,Amenities,Contact Number,Latitude,Longitude,Maintenance Issues (days/month),Last-Minute Cancellations/week,Year,Users Per Year
"Gonzalez, Webster and Young Turf",Anna Nagar,Next to ABC Park,373,3.3,143,08:00,23:00,No,5‑a‑side,"Parking, Changing Room",-4965,13.056372,80.117304,3,8,2022,1360
Walker-Fox Turf,Velachery,Next to ABC Park,392,3.4,54,07:00,20:00,No,6‑a‑side,"Parking, Washroom",+1-242-952-9466x006,13.0963,80.116755,4,3,2022,4272
"Cervantes, Thomas and Mullins Turf",Velachery,Near XYZ Mall,714,3.6,26,08:00,23:00,Yes,5‑a‑side,"Washroom, Floodlights, Canteen, Parking",+1-503-448-9953x83947,13.155068,80.2654,2,9,2022,3592
Collins-Cruz Turf,OMR,Next to ABC Park,604,3.6,135,08:00,22:00,Yes,7‑a‑side,"Changing Room, Canteen",321-962-6539x9736,13.054562,80.161246,4,2,2022,966
"Howell, Harris and Dean Turf",Chromepet,Beside Metro Station,307,4.9,101,05:00,22:00,No,5‑a‑side,"Floodlights, Changing Room",845-730-6495x52163,13.073,80.101482,4,8,2022,4926
"Riggs, Humphrey and Gordon Turf",Kilpauk,Close to Railway Station,1126,4.8,90,07:00,23:00,Yes,7‑a‑side,"Parking, Changing Room, Washroom",901-907-7927x760,13.194876,80.07516,1,1,2022,3944
Zuniga Ltd Turf,OMR,Opposite Main Bus Stop,315,3.2,16,08:00,20:00,No,6‑a‑side,"Canteen, Changing Room",(582)255-3292x74829,13.159662,80.198423,2,3,2022,3671
Ellis LLC Turf,Kilpauk,Beside Metro Station,972,2.6,141,05:00,23:00,No,Futsal,"Parking, Washroom, Changing Room, Canteen",001-561-319-2064x663,13.064894,80.025948,2,5,2022,3419
"Schmidt, Luna and Thomas Turf",Adyar,Next to ABC Park,1112,4.8,98,08:00,20:00,No,Futsal,"Canteen, Floodlights",483-680-3951,13.174217,80.235398,2,1,2022,630
"Williams, Perry and Moore Turf",Pallavaram,Near XYZ Mall,552,3.2,55,06:00,23:00,No,Futsal,"Washroom, Changing Room",652-472-0522x028,13.177357,80.258111,4,7,2022,2185
Lopez Inc Turf,Pallavaram,Next to ABC Park,592,4.2,132,07:00,20:00,No,6‑a‑side,"Floodlights, Canteen, Washroom",+1-308-613-3004x9379,13.046351,80.021046,3,7,2022,1269
Jones-Day Turf,Pallavaram,Close to Railway Station,907,2.8,86,08:00,20:00,No,6‑a‑side,"Canteen, Washroom, Changing Room",454.578.8512x041,13.126169,80.071165,2,0,2022,2891
"Anderson, Harrell and Clarke Turf",Adyar,Opposite Main Bus Stop,649,3.2,11,06:00,20:00,No,7‑a‑side,"Washroom, Canteen, Changing Room",001-976-329-5969x712,13.197506,80.076285,4,2,2022,2933
Garcia LLC Turf,OMR,Next to ABC Park,377,4.3,4,06:00,23:00,No,6‑a‑side,"Floodlights, Canteen, Changing Room, Parking",535.791.8201,13.077642,80.193914,1,9,2022,1684
Hernandez-Parsons Turf,Porur,Beside Metro Station,722,2.8,76,06:00,20:00,No,Futsal,"Parking, Changing Room, Floodlights, Washroom",001-919-409-7165x247,13.000194,80.143488,3,8,2022,3885
Clarke Inc Turf,Medavakkam,Close to Railway Station,937,4.2,126,06:00,22:00,No,7‑a‑side,"Canteen, Parking, Floodlights",(958)615-1148x858,13.041365,80.084682,1,4,2022,4617
"Matthews, Smith and Rhodes Turf",Kilpauk,Close to Railway Station,1077,4.5,79,08:00,21:00,Yes,Futsal,"Floodlights, Canteen, Changing Room",+1-691-563-8428x53312,13.070934,80.089453,3,5,2022,3404
Vaughn Ltd Turf,Mylapore,Next to ABC Park,989,2.7,16,07:00,23:00,No,6‑a‑side,"Floodlights, Washroom",9396552687,13.025952,80.192488,4,3,2022,974
Reilly-Ramirez Turf,T Nagar,Beside Metro Station,820,3.0,42,08:00,22:00,No,5‑a‑side,"Floodlights, Washroom",(720)467-3604x0222,13.053188,80.224625,0,9,2022,1582
Garcia-Richard Turf,Kilpauk,Opposite Main Bus Stop,1170,2.6,43,07:00,22:00,No,6‑a‑side,"Changing Room, Washroom, Floodlights, Parking",221-436-2944,13.171131,80.049291,3,1,2022,3058
Reid-Wright Turf,Nungambakkam,Next to ABC Park,575,3.2,123,07:00,21:00,No,7‑a‑side,"Changing Room, Parking, Floodlights",+1-732-486-5395x91325,13.012027,80.148594,1,7,2022,2547
"Bradley, Bennett and Mccoy Turf",Porur,Opposite Main Bus Stop,1164,3.4,118,08:00,23:00,Yes,7‑a‑side,"Changing Room, Canteen, Parking",6969041442,13.016461,80.003104,4,5,2022,3247
Johnson LLC Turf,T Nagar,Close to Railway Station,1151,3.4,19,05:00,23:00,No,7‑a‑side,"Changing Room, Floodlights, Canteen, Washroom",471-381-0631x6050,13.019846,80.086679,3,4,2022,1475
Frazier-Jordan Turf,Adyar,Beside Metro Station,446,4.5,44,08:00,20:00,No,5‑a‑side,"Parking, Washroom, Canteen",892-940-0435,13.089092,80.184711,0,8,2022,2306
"Aguirre, Mclean and Dean Turf",Guindy,Beside Metro Station,578,3.5,41,07:00,22:00,Yes,7‑a‑side,"Parking, Changing Room, Washroom, Canteen",540-699-6415x122,13.114478,80.102326,0,0,2022,689
"Morris, Johnson and Brady Turf",Porur,Opposite Main Bus Stop,739,3.6,4,07:00,21:00,No,Futsal,"Canteen, Floodlights, Changing Room",(779)552-8060x729,13.05382,80.255392,2,4,2022,3234
"Warren, Lam and Anderson Turf",Ambattur,Near XYZ Mall,553,3.1,123,05:00,22:00,No,Futsal,"Canteen, Parking, Changing Room, Floodlights",001-936-239-0088x890,13.034799,80.188161,2,5,2022,3505
Thompson Group Turf,Ambattur,Close to Railway Station,568,4.3,99,05:00,23:00,Yes,7‑a‑side,"Changing Room, Canteen, Parking, Floodlights",261-699-8135x027,13.126946,80.118841,1,4,2022,2399
Jennings Ltd Turf,T Nagar,Close to Railway Station,1097,4.9,82,05:00,20:00,No,5‑a‑side,"Floodlights, Washroom, Changing Room",001-340-344-1295x972,13.167782,80.107646,3,5,2022,1767
Garcia-Jones Turf,Ambattur,Close to Railway Station,1099,2.6,128,08:00,20:00,No,7‑a‑side,"Changing Room, Washroom",-10221,13.145426,80.113915,3,5,2022,2028
Montgomery-Williams Turf,Ambattur,Beside Metro Station,642,4.8,47,05:00,22:00,Yes,5‑a‑side,"Floodlights, Canteen, Washroom",+1-984-225-2439x600,13.127854,80.064551,2,6,2022,3702
Hess PLC Turf,Velachery,Close to Railway Station,733,3.9,3,06:00,22:00,No,6‑a‑side,"Washroom, Changing Room, Floodlights, Parking",302.944.2993x87771,13.076072,80.043874,3,3,2022,4056
"Mccoy, Bennett and White Turf",Perungudi,Near XYZ Mall,692,3.3,4,08:00,20:00,Yes,5‑a‑side,"Parking, Canteen",001-567-697-7440,13.101015,80.247738,3,7,2022,4390
"Walker, White and Johns Turf",Ambattur,Next to ABC Park,1010,4.6,147,08:00,20:00,No,7‑a‑side,"Washroom, Parking, Changing Room, Canteen",2147003105,13.166091,80.060715,0,6,2022,1146
"White, Kirby and Knight Turf",Guindy,Beside Metro Station,522,2.5,102,06:00,22:00,No,5‑a‑side,"Floodlights, Parking, Changing Room, Washroom",944.504.7069,13.019066,80.146818,2,8,2022,3388
